,Monthly Nominal GDP Index,Monthly Real GDP Index
2022 - Jan,24524.622,19907.025
2022 - Feb,24729.293,19935.678
2022 - Mar,24967.524,19935.962
2022 - Apr,24991.315,19857.86
2022 - May,25230.606,19921.203
2022 - Jun,25523.507,19913.222
2022 - Jul,25474.755,19894.321
2022 - Aug,25886.578,20200.711
2022 - Sep,25810.297,20075.289
2022 - Oct,26067.853,20180.093
2022 - Nov,26243.751,20271.545
2022 - Dec,26065.231,20193.951
